Video Time,Commenter,Time,Comment
,PM ARAFAT CHOWDHURY,,এনজিও সরকার দেখতে চাই না
,Sourav Paul,,আমরা নির্বাচিত সরকারের বক্তব্য শুনবো
,NA,,Farooki podotag chai
,TC COMPUTER-2 তাওহীদ কম্পিউটারস্,,
,Raja Rangpuri,,উত্তরবঙ্গ থেকে উপদেষ্টা নিয়োগ দেন।
,Mamun Mamun,,জয় বাংলা জয় ওলামা লীগ
,Jahagir Alom,,এই ইসকন ভারতের এজেন্ট 'র' নিয়ন্ত্রণ করে এদের নিষিদ্ধ করা হোক
,Md Ebrahim,,দ্রব্যমূল্যের দাম কমান
,Taufiq_plays,,সুভ কামনা
,MD MILON,,এই বান্দরের রাতের লজ্জা নেই করিস নৌকো নৌকো করিস
,বিনোদন টিভি,,congratulations may dear bos
,Akhlas hossain,,শুভকামনা রইল
,MD Rahim,,ড্রাইভিং লাইসেন্স জরুরী পাওয়ার ব্যবস্থা করেন
,real life,,bnp
,Masum Ahmed,,হেডার বঙ্গবন্ধু
,Rubal Ahamed,,নির্বাচন দে
,Rashedul Islam,,জিনিসের দাম কমিয়ে আনছেন আর বেকারদের কাজের ব্যবস্থা করেন তাহলে দেশ যাবে এগিয়ে মানুষ থাকবে শান্তিতে।
,Mohammad Jahidul Haque,,"ফারুকী,বশির এদের উপদেষ্টা থেকে অপসারন করতে হবে।"
,Dawah Islam,,আফসোস লিগের আফসোস বেড়েই চলছে
,Mir Md. Miskatul Ferdous,,একটা একটা লীগ ধর সকাল বিকাল নাস্তা কর।
,Kazi Arif Mahmoud,,Alhamdulillah
,Bisho jite mollik,,আপনি আগে পদত্যাগ করেন দেশের মানুষের জন্য
,Sabbir Hossain,,আলহামদুলিল্লাহ
,মোঃ ফজর আলী,,রূপবান এর গীত বন্ধ কর আগে
,Ali Murtuza,,ALHAMDULILLAH THANGYOU
,আম্যাজন,,জয় বাংলা
,Monirul Hasan Sarker,,আসসালামু আলাইকুম
,Lamim Hasan,,faruki pododeg sai
,LOFI_Leftover,,HI
,Morhad Vuiyan,,র‍্যাব বিলুপ্ত চায়
,Zakaria Khan,,Feraun kotta league
,PM ARAFAT CHOWDHURY,,ভুয়া
,Jillur rahman,,
,টুকিটাকি বিনোদন,,পুলিশ হত্যার বিচার চাই
,Anwar hossain,,জয় বাংলা জয় বঙ্গবন্ধু
,Jakir Hossain,,"এতো নরম হইলে দেশ চালানো যাইবো না আপনার শক্ত হন কঠিন হন, নিত্য প্রয়োজনীয় জিনিসের দাম কমান, আর না হইলে আপনারা ব্যর্থ সাধারণ মানুষ আপনাদেরকে নামিয়ে দিবে"
,Mohammad Fahad,,election kobe ?
,Md Muzahid ul islam,,শেখ হাসিনার বিচার করতে হবে
